algorithm,inputType,n,averageTimeNanos,maxRecursionDepth,operations
MergeSort,Random,100,19966,4,690
QuickSort,Random,100,74633,4,1105
DeterministicSelect,Random,100,28933,6,658
ClosestPair,Random,100,113500,7,166
MergeSort,Random,500,108833,6,4703
QuickSort,Random,500,85133,6,6166
DeterministicSelect,Random,500,67466,9,3761
ClosestPair,Random,500,285633,9,777
MergeSort,Random,1000,59600,7,10278
QuickSort,Random,1000,80966,7,13339
DeterministicSelect,Random,1000,38800,9,7573
ClosestPair,Random,1000,525733,10,1544
MergeSort,Random,2000,213833,8,22743
QuickSort,Random,2000,158366,8,31026
DeterministicSelect,Random,2000,296266,10,15973
ClosestPair,Random,2000,1430233,11,3098
MergeSort,Sorted,100,2000,4,244
QuickSort,Sorted,100,3366,4,796
DeterministicSelect,Sorted,100,2433,7,516
ClosestPair,Sorted,100,39533,7,182
MergeSort,Sorted,500,26733,6,1728
QuickSort,Sorted,500,17900,6,5298
DeterministicSelect,Sorted,500,10433,8,2876
ClosestPair,Sorted,500,323133,9,742
MergeSort,Sorted,1000,124233,7,3956
QuickSort,Sorted,1000,41300,6,12253
DeterministicSelect,Sorted,1000,13033,10,5549
ClosestPair,Sorted,1000,532200,10,1505
MergeSort,Sorted,2000,91433,8,8912
QuickSort,Sorted,2000,69933,7,27171
DeterministicSelect,Sorted,2000,24400,10,11803
ClosestPair,Sorted,2000,384900,11,3082
MergeSort,Reverse-sorted,100,15133,4,724
QuickSort,Reverse-sorted,100,3300,5,733
DeterministicSelect,Reverse-sorted,100,1666,6,656
ClosestPair,Reverse-sorted,100,26866,7,170
MergeSort,Reverse-sorted,500,89733,6,4900
QuickSort,Reverse-sorted,500,13433,5,5506
DeterministicSelect,Reverse-sorted,500,6833,8,3795
ClosestPair,Reverse-sorted,500,107066,9,772
MergeSort,Reverse-sorted,1000,43533,7,10300
QuickSort,Reverse-sorted,1000,27400,7,12473
DeterministicSelect,Reverse-sorted,1000,13233,10,7791
ClosestPair,Reverse-sorted,1000,186633,10,1448
MergeSort,Reverse-sorted,2000,95733,8,21600
QuickSort,Reverse-sorted,2000,55400,7,28370
DeterministicSelect,Reverse-sorted,2000,35600,11,16370
ClosestPair,Reverse-sorted,2000,458966,11,3057
MergeSort,Duplicate-heavy,100,2233,4,653
QuickSort,Duplicate-heavy,100,4266,5,792
DeterministicSelect,Duplicate-heavy,100,1266,5,541
ClosestPair,Duplicate-heavy,100,59300,7,134
MergeSort,Duplicate-heavy,500,27533,6,4503
QuickSort,Duplicate-heavy,500,18933,7,4851
DeterministicSelect,Duplicate-heavy,500,3033,4,1514
ClosestPair,Duplicate-heavy,500,231233,9,389
MergeSort,Duplicate-heavy,1000,180466,7,10009
QuickSort,Duplicate-heavy,1000,34033,8,10878
DeterministicSelect,Duplicate-heavy,1000,15500,6,5470
ClosestPair,Duplicate-heavy,1000,474366,10,744
MergeSort,Duplicate-heavy,2000,397466,8,22217
QuickSort,Duplicate-heavy,2000,74000,9,24834
DeterministicSelect,Duplicate-heavy,2000,17166,5,6128
ClosestPair,Duplicate-heavy,2000,756100,11,1441
